Frequency (Hz)	Level (dB)
6804.492188	-128.761490
6815.258789	-128.406601
6826.025391	-129.171143
6836.791992	-129.295135
6847.558594	-128.390839
6858.325195	-128.697311
6869.091797	-128.949936
6879.858398	-129.421127
6890.625000	-129.635712
6901.391602	-128.306961
6912.158203	-127.793785
6922.924805	-128.867828
6933.691406	-128.807114
6944.458008	-129.511169
6955.224609	-129.947861
6965.991211	-128.416870
6976.757812	-128.714417
6987.524414	-129.486115
6998.291016	-127.944305
7009.057617	-129.338760
7019.824219	-129.363983
7030.590820	-128.910797
7041.357422	-129.273087
7052.124023	-129.655075
7062.890625	-128.950531
7073.657227	-129.096664
7084.423828	-129.784149
7095.190430	-129.086792
7105.957031	-129.552063
7116.723633	-129.229538
7127.490234	-128.710434
7138.256836	-128.932693
7149.023438	-128.054382
7159.790039	-128.448105
7170.556641	-130.051712
7181.323242	-129.618011
7192.089844	-129.701752
7202.856445	-130.597443
7213.623047	-129.730240
7224.389648	-129.801529
7235.156250	-129.890518
7245.922852	-128.833252
7256.689453	-128.961517
7267.456055	-129.026428
7278.222656	-130.014267
7288.989258	-130.197937
7299.755859	-128.708572
7310.522461	-129.752869
7321.289062	-129.878708
7332.055664	-129.920456
7342.822266	-130.060364
7353.588867	-129.249069
7364.355469	-129.605850
7375.122070	-129.823441
7385.888672	-129.817291
7396.655273	-130.362762
7407.421875	-129.886169
7418.188477	-130.154083
7428.955078	-130.076477
7439.721680	-128.618301
7450.488281	-129.088654
7461.254883	-129.772293
7472.021484	-130.302811
7482.788086	-130.491959
7493.554688	-129.657669
7504.321289	-129.091553
7515.087891	-129.670624
7525.854492	-129.814651
7536.621094	-129.588669
7547.387695	-129.577347
7558.154297	-128.970078
7568.920898	-128.715530
7579.687500	-130.303619
7590.454102	-129.827332
7601.220703	-129.264282
7611.987305	-129.925949
7622.753906	-128.605896
7633.520508	-129.182144
7644.287109	-129.579041
7655.053711	-128.729828
7665.820312	-129.432693
7676.586914	-129.496185
7687.353516	-129.486862
7698.120117	-130.347610
7708.886719	-129.451324
7719.653320	-127.290131
7730.419922	-128.726044
7741.186523	-128.398895
7751.953125	-129.112625
7762.719727	-129.844666
7773.486328	-128.837173
7784.252930	-128.736664
7795.019531	-129.873077
7805.786133	-126.864250
7816.552734	-127.053444
7827.319336	-126.573181
7838.085938	-125.666725
7848.852539	-124.274887
7859.619141	-122.894066
7870.385742	-120.641899
7881.152344	-118.390182
7891.918945	-116.417465
7902.685547	-113.731339
7913.452148	-110.632057
7924.218750	-107.239822
7934.985352	-103.120880
7945.751953	-98.359077
7956.518555	-92.367653
7967.285156	-84.540558
7978.051758	-72.806435
7988.818359	-44.047020
7999.584961	-37.486301
8010.351562	-42.905220
8021.118164	-71.379150
8031.884766	-83.662857
8042.651367	-91.737228
8053.417969	-97.759758
8064.184570	-102.725525
8074.951172	-106.785912
8085.717773	-110.208626
8096.484375	-113.288803
8107.250977	-116.184509
8118.017578	-117.834854
8128.784180	-120.803596
8139.550781	-122.239433
8150.317383	-123.865944
8161.083984	-124.737465
8171.850586	-125.781555
8182.617188	-126.141518
8193.383789	-127.907936
8204.150391	-127.115761
8214.916992	-127.533081
8225.683594	-128.033279
8236.450195	-129.016296
8247.216797	-129.132965
8257.983398	-130.222733
8268.750000	-129.923279
8279.516602	-128.807785
8290.283203	-129.129089
8301.049805	-129.671265
8311.816406	-129.835449
8322.583008	-128.859848
8333.349609	-128.535919
8344.116211	-128.019211
8354.882812	-129.293381
8365.649414	-129.149429
8376.416016	-128.683640
